method,split,layer,top1,top5,mrr
implicit_token_lens,validation,0,0.109375,0.25,0.18079824054619348
ridge_to_final_implicit_lens,validation,0,0.02734375,0.0859375,0.07055877758044331
raw_final_prototype,validation,0,0.03125,0.06640625,0.07203893454272838
mean_subtoken_embedding,validation,0,0.0859375,0.1953125,0.15517662275383642
explicit_final_subtoken_embedding,validation,0,0.21875,nan,nan
implicit_token_lens,test,0,0.10546875,0.228515625,0.17008308908071468
ridge_to_final_implicit_lens,test,0,0.021484375,0.07421875,0.06410278074902505
raw_final_prototype,test,0,0.029296875,0.08203125,0.07251075189193865
mean_subtoken_embedding,test,0,0.109375,0.21875,0.17539963297265654
explicit_final_subtoken_embedding,test,0,0.201171875,nan,nan
implicit_token_lens,validation,1,0.16796875,0.2421875,0.2206039576076429
ridge_to_final_implicit_lens,validation,1,0.03515625,0.09765625,0.08063436851837329
raw_final_prototype,validation,1,0.01953125,0.078125,0.06215487351312649
mean_subtoken_embedding,validation,1,0.01953125,0.08203125,0.06379253041626874
explicit_final_subtoken_embedding,validation,1,0.10546875,nan,nan
implicit_token_lens,test,1,0.16796875,0.23828125,0.21576813814462847
ridge_to_final_implicit_lens,test,1,0.03515625,0.080078125,0.07554791421417043
raw_final_prototype,test,1,0.01171875,0.064453125,0.052289632664527796
mean_subtoken_embedding,test,1,0.021484375,0.072265625,0.06784031656197748
explicit_final_subtoken_embedding,test,1,0.111328125,nan,nan
implicit_token_lens,validation,2,0.1875,0.24609375,0.2307103633528424
ridge_to_final_implicit_lens,validation,2,0.046875,0.09375,0.0891618724197498
raw_final_prototype,validation,2,0.015625,0.08203125,0.06643398125028963
mean_subtoken_embedding,validation,2,0.00390625,0.03515625,0.04329037456269032
explicit_final_subtoken_embedding,validation,2,0.07421875,nan,nan
implicit_token_lens,test,2,0.17578125,0.23046875,0.22107090374106614
ridge_to_final_implicit_lens,test,2,0.033203125,0.08203125,0.07869825622112302
raw_final_prototype,test,2,0.009765625,0.0625,0.05611827806937009
mean_subtoken_embedding,test,2,0.017578125,0.05859375,0.05903819739440894
explicit_final_subtoken_embedding,test,2,0.08984375,nan,nan
implicit_token_lens,validation,3,0.19921875,0.24609375,0.24115176956611947
ridge_to_final_implicit_lens,validation,3,0.03515625,0.1015625,0.08564932893300409
raw_final_prototype,validation,3,0.015625,0.09375,0.07085956077415936
mean_subtoken_embedding,validation,3,0.00390625,0.01953125,0.03912289482587557
explicit_final_subtoken_embedding,validation,3,0.0625,nan,nan
implicit_token_lens,test,3,0.1875,0.240234375,0.2285968787201815
ridge_to_final_implicit_lens,test,3,0.02734375,0.087890625,0.07614876173526397
raw_final_prototype,test,3,0.0078125,0.08203125,0.05849925896837062
mean_subtoken_embedding,test,3,0.01171875,0.05078125,0.051115477786202346
explicit_final_subtoken_embedding,test,3,0.08203125,nan,nan
implicit_token_lens,validation,4,0.19921875,0.25,0.2421498071312043
ridge_to_final_implicit_lens,validation,4,0.03125,0.109375,0.08367725423047173
raw_final_prototype,validation,4,0.015625,0.0859375,0.06270971509826317
mean_subtoken_embedding,validation,4,0.0078125,0.046875,0.04437926134745289
explicit_final_subtoken_embedding,validation,4,0.046875,nan,nan
implicit_token_lens,test,4,0.1796875,0.240234375,0.226494234821926
ridge_to_final_implicit_lens,test,4,0.021484375,0.08984375,0.07303972299970107
raw_final_prototype,test,4,0.0078125,0.064453125,0.053945962466074845
mean_subtoken_embedding,test,4,0.0078125,0.044921875,0.045740854137052644
explicit_final_subtoken_embedding,test,4,0.07421875,nan,nan
implicit_token_lens,validation,5,0.2109375,0.2578125,0.249925180022451
ridge_to_final_implicit_lens,validation,5,0.04296875,0.11328125,0.09224843465006151
raw_final_prototype,validation,5,0.0390625,0.109375,0.09185862922558924
mean_subtoken_embedding,validation,5,0.01171875,0.03125,0.045881245963691614
explicit_final_subtoken_embedding,validation,5,0.0703125,nan,nan
implicit_token_lens,test,5,0.1953125,0.255859375,0.2401843564917992
ridge_to_final_implicit_lens,test,5,0.033203125,0.09375,0.0842470856086742
raw_final_prototype,test,5,0.01953125,0.091796875,0.07403396427480599
mean_subtoken_embedding,test,5,0.005859375,0.044921875,0.046847684974786225
